video_id,metric,human_label,model_label,model_score,model_raw,human_range,raw_distance,bucket_distance,total_buckets,match_status,interpretation,notes
11,body_sway,optimal,optimal,57,0.9411,"[0.55, 1.0]",0.0,0,5,exact_match,"Natural controlled movement (Good). Natural, relaxed posture.",
11,gaze_stability,good,weak,54,0.1759,"[0.08, 0.15]",0.0259,1,4,off_by_1,Slightly unstable gaze (Weak). Occasional scanning.,
11,gesture_activity,optimal,optimal,50,4.5185,"[2.0, 5.0]",0.0,0,5,exact_match,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
11,gesture_magnitude,high,optimal,68,2.9154,"[3.0, 3.5]",0.0846,1,5,off_by_1,"High gesture dynamics (Excellent). Confident, expansive gestures.",
11,gesture_stability,optimal,high,40,13.4557,[< 5.0],8.4557,2,4,off_by_2,Mild instability (Weak). Occasional shaking.,
11,head_down_ratio,forward,mostly_down,13,0.6008,[< 0.1],0.5008,3,4,off_by_3,Head mostly facing down. Avoids audience.,
11,head_stability,stable,optimal,88,1.5695,"[0.6, 1.0]",0.5695,1,5,off_by_1,Natural head engagement (Excellent). Good nodding and tilting.,
11,pause_ratio,optimal,no_pauses,45,0.0,"[0.04, 0.08]",0.04,2,6,off_by_2,Machine-gun delivery. No breathing room.,
11,pitch_dynamic,expressive,neutral,100,3.573,"[5.0, 7.5]",1.427,1,4,off_by_1,"Reserved and controlled, but lacks emotion.",
11,posture_openness,open,open,100,2.9154,[> 0.7],0.0,0,3,exact_match,"Open, expressive posture (Excellent). Good use of gestures.",
11,smile_activation,expressive,expressive,34,0.8222,[> 0.8],0.0,0,4,exact_match,"Very high smile (Good). Highly radiant, possibly over-expressive.",
11,speech_rate,optimal,optimal,100,139.9198,"[120, 170]",0.0,0,6,exact_match,Optimal pace. Easy to follow and engaging.,
11,vocal_punch,optimal,muffled,2,12.9122,"[17.0, 21.0]",4.0878,2,5,off_by_2,Muffled/Flat (Weak). Lacks energy and attack.,
11,volume_dynamic,expressive,optimal,43,0.7505,"[0.8, 1.2]",0.0495,1,5,off_by_1,Dynamic delivery. Good emotional texture.,
16,body_sway,optimal,optimal,57,0.9265,"[0.55, 1.0]",0.0,0,5,exact_match,"Natural controlled movement (Good). Natural, relaxed posture.",
16,gaze_stability,good,good,64,0.1028,"[0.08, 0.15]",0.0,0,4,exact_match,Natural gaze behavior (Good). Natural eye contact.,
16,gesture_activity,optimal,optimal,69,4.1561,"[2.0, 5.0]",0.0,0,5,exact_match,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
16,gesture_magnitude,optimal,optimal,77,2.8604,"[1.8, 3.0]",0.0,0,5,exact_match,"High gesture dynamics (Excellent). Confident, expansive gestures.",
16,gesture_stability,optimal,high,31,17.6891,[< 5.0],12.6891,2,4,off_by_2,Mild instability (Weak). Occasional shaking.,
16,head_down_ratio,forward,mostly_down,19,0.477,[< 0.1],0.377,3,4,off_by_3,Head mostly facing down. Avoids audience.,
16,head_stability,stable,optimal,92,1.1425,"[0.6, 1.0]",0.1425,1,5,off_by_1,Natural head engagement (Excellent). Good nodding and tilting.,
16,pause_ratio,low_pauses,no_pauses,45,0.0,"[0.02, 0.04]",0.02,1,6,off_by_1,Machine-gun delivery. No breathing room.,
16,pitch_dynamic,neutral,monotone,100,2.5829,"[3.0, 5.0]",0.4171,1,4,off_by_1,Completely monotone. Hard to listen to.,
16,posture_openness,neutral,open,100,2.8604,"[0.3, 0.7]",2.1604,1,3,off_by_1,"Open, expressive posture (Excellent). Good use of gestures.",
16,smile_activation,expressive,expressive,0,0.9831,[> 0.8],0.0,0,4,exact_match,"Very high smile (Good). Highly radiant, possibly over-expressive.",
16,speech_rate,optimal,optimal,100,163.2558,"[120, 170]",0.0,0,6,exact_match,Optimal pace. Easy to follow and engaging.,
16,vocal_punch,soft,optimal,100,17.2769,"[14.0, 17.0]",0.2769,1,5,off_by_1,"Strong vocal energy. Clear, punchy articulation.",
16,volume_dynamic,optimal,expressive,0,0.8376,"[0.55, 0.8]",0.0376,1,5,off_by_1,Highly dynamic. Strong emotional variation.,
18,body_sway,optimal,optimal,47,0.9296,"[0.55, 1.0]",0.0,0,5,exact_match,"Natural controlled movement (Good). Natural, relaxed posture.",
18,gaze_stability,good,poor,25,0.4029,"[0.08, 0.15]",0.2529,2,4,off_by_2,Unsteady or nervous gaze (Poor). Frequent darting.,
18,gesture_activity,optimal,optimal,85,3.6802,"[2.0, 5.0]",0.0,0,5,exact_match,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
18,gesture_magnitude,very_high,optimal,66,2.0066,[> 3.5],1.4934,2,5,off_by_2,"High gesture dynamics (Excellent). Confident, expansive gestures.",
18,gesture_stability,good,good,56,8.0719,"[5.0, 12.0]",0.0,0,4,exact_match,Natural stability (Good). Healthy fluidity.,
18,head_down_ratio,forward,occasional_down,63,0.2272,[< 0.1],0.1272,1,4,off_by_1,Good posture with occasional glances down.,
18,head_stability,high,high,49,2.1829,"[2.0, 3.0]",0.0,0,5,exact_match,Active head movement. Engaged but energetic.,
18,pause_ratio,optimal,optimal,83,0.059,"[0.04, 0.08]",0.0,0,6,exact_match,Perfect rhythm. Natural flow with good pacing.,
18,pitch_dynamic,monotone,monotone,100,2.9512,[< 3.0],0.0,0,4,exact_match,Completely monotone. Hard to listen to.,
18,posture_openness,open,open,78,2.0066,[> 0.7],0.0,0,3,exact_match,"Open, expressive posture (Excellent). Good use of gestures.",
18,smile_activation,expressive,optimal,21,0.782,[> 0.8],0.018,1,4,off_by_1,"Balanced, natural smile (Excellent). Warm and approachable.",
18,speech_rate,slow,slow,51,103.6585,"[100, 120]",0.0,0,6,exact_match,Slower than typical; very clear but may lack energy.,
18,vocal_punch,soft,soft,74,15.9068,"[14.0, 17.0]",0.0,0,5,exact_match,"Gentle delivery. Good for intimacy, bad for power.",
18,volume_dynamic,optimal,expressive,0,0.9183,"[0.55, 0.8]",0.1183,1,5,off_by_1,Highly dynamic. Strong emotional variation.,
23,body_sway,stable,optimal,44,0.9877,"[0.3, 0.55]",0.4377,1,5,off_by_1,"Natural controlled movement (Good). Natural, relaxed posture.",
23,gaze_stability,good,poor,11,0.5155,"[0.08, 0.15]",0.3655,2,4,off_by_2,Unsteady or nervous gaze (Poor). Frequent darting.,
23,gesture_activity,high,high,5,6.4385,"[5.0, 7.5]",0.0,0,5,exact_match,"Fast, energetic movement.",
23,gesture_magnitude,high,optimal,73,2.6747,"[3.0, 3.5]",0.3253,1,5,off_by_1,"High gesture dynamics (Excellent). Confident, expansive gestures.",
23,gesture_stability,good,very_high,11,32.4843,"[5.0, 12.0]",20.4843,2,4,off_by_2,Strong jitter / instability (Poor). Fidgety hands.,
23,head_down_ratio,forward,occasional_down,76,0.1405,[< 0.1],0.0405,1,4,off_by_1,Good posture with occasional glances down.,
23,head_stability,stable,optimal,79,1.392,"[0.6, 1.0]",0.392,1,5,off_by_1,Natural head engagement (Excellent). Good nodding and tilting.,
23,pause_ratio,optimal,no_pauses,67,0.0115,"[0.04, 0.08]",0.0285,2,6,off_by_2,Machine-gun delivery. No breathing room.,
23,pitch_dynamic,expressive,expressive,0,5.8481,"[5.0, 7.5]",0.0,0,4,exact_match,Good expressiveness. Engaging vocal melody.,
23,posture_openness,open,open,95,2.6747,[> 0.7],0.0,0,3,exact_match,"Open, expressive posture (Excellent). Good use of gestures.",
23,smile_activation,neutral,flat,0,0.6927,"[0.74, 0.76]",0.0473,1,4,off_by_1,"Flat or absent smile (Poor). Serious, poker face.",
23,speech_rate,optimal,optimal,100,145.3125,"[120, 170]",0.0,0,6,exact_match,Optimal pace. Easy to follow and engaging.,
23,vocal_punch,strong,optimal,100,20.022,"[21.0, 24.0]",0.978,1,5,off_by_1,"Strong vocal energy. Clear, punchy articulation.",
23,volume_dynamic,expressive,expressive,0,0.8984,"[0.8, 1.2]",0.0,0,5,exact_match,Highly dynamic. Strong emotional variation.,
24,body_sway,stable,stable,13,0.3877,"[0.3, 0.55]",0.0,0,5,exact_match,"Grounded, controlled posture (Excellent). Very grounded.",
24,gaze_stability,weak,poor,10,0.8629,"[0.15, 0.22]",0.6429,1,4,off_by_1,Unsteady or nervous gaze (Poor). Frequent darting.,
24,gesture_activity,optimal,optimal,30,2.1369,"[2.0, 5.0]",0.0,0,5,exact_match,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
24,gesture_magnitude,optimal,optimal,67,1.9995,"[1.8, 3.0]",0.0,0,5,exact_match,"High gesture dynamics (Excellent). Confident, expansive gestures.",
24,gesture_stability,optimal,optimal,72,2.4867,[< 5.0],0.0,0,4,exact_match,"Extremely stable gestures (Excellent). Smooth, intentional movement.",
24,head_down_ratio,forward,mostly_down,26,0.4508,[< 0.1],0.3508,3,4,off_by_3,Head mostly facing down. Avoids audience.,
24,head_stability,optimal,optimal,68,1.8304,"[1.0, 2.0]",0.0,0,5,exact_match,Natural head engagement (Excellent). Good nodding and tilting.,
24,pause_ratio,optimal,frequent_pauses,34,0.0865,"[0.04, 0.08]",0.0065,1,6,off_by_1,Deliberate style. Clear but may lose momentum.,
24,pitch_dynamic,neutral,expressive,2,5.5136,"[3.0, 5.0]",0.5136,1,4,off_by_1,Good expressiveness. Engaging vocal melody.,
24,posture_openness,open,neutral,64,1.9995,[> 0.7],0.0,1,3,off_by_1,"Neutral posture (Ok). Arms at rest, hands at sides or behind.",
24,smile_activation,neutral,flat,49,0.6955,"[0.74, 0.76]",0.0445,1,4,off_by_1,"Flat or absent smile (Poor). Serious, poker face.",
24,speech_rate,optimal,optimal,100,166.0,"[120, 170]",0.0,0,6,exact_match,Optimal pace. Easy to follow and engaging.,
24,vocal_punch,optimal,optimal,100,20.9061,"[17.0, 21.0]",0.0,0,5,exact_match,"Strong vocal energy. Clear, punchy articulation.",
24,volume_dynamic,optimal,expressive,0,0.9612,"[0.55, 0.8]",0.1612,1,5,off_by_1,Highly dynamic. Strong emotional variation.,
25,body_sway,stable,optimal,57,0.9019,"[0.3, 0.55]",0.3519,1,5,off_by_1,"Natural controlled movement (Good). Natural, relaxed posture.",
25,gaze_stability,weak,poor,15,0.4707,"[0.15, 0.22]",0.2507,1,4,off_by_1,Unsteady or nervous gaze (Poor). Frequent darting.,
25,gesture_activity,optimal,optimal,67,4.2344,"[2.0, 5.0]",0.0,0,5,exact_match,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
25,gesture_magnitude,high,optimal,80,2.3468,"[3.0, 3.5]",0.6532,1,5,off_by_1,"High gesture dynamics (Excellent). Confident, expansive gestures.",
25,gesture_stability,optimal,high,43,12.2879,[< 5.0],7.2879,2,4,off_by_2,Mild instability (Weak). Occasional shaking.,
25,head_down_ratio,forward,frequent_down,47,0.3155,[< 0.1],0.2155,2,4,off_by_2,Head often tilted down.,
25,head_stability,optimal,high,47,2.2012,"[1.0, 2.0]",0.2012,1,5,off_by_1,Active head movement. Engaged but energetic.,
25,pause_ratio,optimal,no_pauses,76,0.0167,"[0.04, 0.08]",0.0233,2,6,off_by_2,Machine-gun delivery. No breathing room.,
25,pitch_dynamic,expressive,neutral,100,3.5764,"[5.0, 7.5]",1.4236,1,4,off_by_1,"Reserved and controlled, but lacks emotion.",
25,posture_openness,open,open,86,2.3468,[> 0.7],0.0,0,3,exact_match,"Open, expressive posture (Excellent). Good use of gestures.",
25,smile_activation,expressive,expressive,16,0.8239,[> 0.8],0.0,0,4,exact_match,"Very high smile (Good). Highly radiant, possibly over-expressive.",
25,speech_rate,optimal,slow,97,116.4676,"[120, 170]",3.5324,1,6,off_by_1,Slower than typical; very clear but may lack energy.,
25,vocal_punch,optimal,optimal,100,17.1581,"[17.0, 21.0]",0.0,0,5,exact_match,"Strong vocal energy. Clear, punchy articulation.",
25,volume_dynamic,optimal,optimal,7,0.7896,"[0.55, 0.8]",0.0,0,5,exact_match,Dynamic delivery. Good emotional texture.,
58,body_sway,optimal,stable,51,0.539,"[0.55, 1.0]",0.011,1,5,off_by_1,"Grounded, controlled posture (Excellent). Very grounded.",
58,gaze_stability,weak,good,65,0.0992,"[0.15, 0.22]",0.0508,1,4,off_by_1,Natural gaze behavior (Good). Natural eye contact.,
58,gesture_activity,high,optimal,56,2.5588,"[5.0, 7.5]",2.4412,1,5,off_by_1,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
58,gesture_magnitude,optimal,optimal,66,2.0841,"[1.8, 3.0]",0.0,0,5,exact_match,"High gesture dynamics (Excellent). Confident, expansive gestures.",
58,gesture_stability,good,optimal,65,4.972,"[5.0, 12.0]",0.028,1,4,off_by_1,"Extremely stable gestures (Excellent). Smooth, intentional movement.",
58,head_down_ratio,forward,forward,95,0.0004,[< 0.1],0.0,0,4,exact_match,Excellent posture. Head facing audience.,
58,head_stability,high,stable,80,0.8841,"[2.0, 3.0]",1.1159,2,5,off_by_2,Very controlled. Serious but attentive.,
58,pause_ratio,low_pauses,no_pauses,45,0.0,"[0.02, 0.04]",0.02,1,6,off_by_1,Machine-gun delivery. No breathing room.,
58,pitch_dynamic,expressive,neutral,100,3.2505,"[5.0, 7.5]",1.7495,1,4,off_by_1,"Reserved and controlled, but lacks emotion.",
58,posture_openness,open,neutral,62,2.0841,[> 0.7],0.0,1,3,off_by_1,"Neutral posture (Ok). Arms at rest, hands at sides or behind.",
58,smile_activation,flat,expressive,26,0.8177,[< 0.74],0.0777,3,4,off_by_3,"Very high smile (Good). Highly radiant, possibly over-expressive.",
58,speech_rate,fast,fast,100,170.6897,"[170, 190]",0.0,0,6,exact_match,Energetic and lively. Good for excitement.,
58,vocal_punch,strong,strong,32,23.1361,"[21.0, 24.0]",0.0,0,5,exact_match,Very punchy. High energy and presence.,
58,volume_dynamic,optimal,expressive,0,0.8838,"[0.55, 0.8]",0.0838,1,5,off_by_1,Highly dynamic. Strong emotional variation.,
59,body_sway,stable,optimal,82,0.7828,"[0.3, 0.55]",0.2328,1,5,off_by_1,"Natural controlled movement (Good). Natural, relaxed posture.",
59,gaze_stability,optimal,good,53,0.1417,[< 0.08],0.0617,1,4,off_by_1,Natural gaze behavior (Good). Natural eye contact.,
59,gesture_activity,high,optimal,57,4.3994,"[5.0, 7.5]",0.6006,1,5,off_by_1,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
59,gesture_magnitude,optimal,optimal,92,2.3635,"[1.8, 3.0]",0.0,0,5,exact_match,"High gesture dynamics (Excellent). Confident, expansive gestures.",
59,gesture_stability,good,high,33,16.2272,"[5.0, 12.0]",4.2272,1,4,off_by_1,Mild instability (Weak). Occasional shaking.,
59,head_down_ratio,forward,occasional_down,66,0.2124,[< 0.1],0.1124,1,4,off_by_1,Good posture with occasional glances down.,
59,head_stability,stable,stable,87,0.939,"[0.6, 1.0]",0.0,0,5,exact_match,Very controlled. Serious but attentive.,
59,pause_ratio,low_pauses,no_pauses,45,0.0,"[0.02, 0.04]",0.02,1,6,off_by_1,Machine-gun delivery. No breathing room.,
59,pitch_dynamic,expressive,neutral,40,4.9811,"[5.0, 7.5]",0.0189,1,4,off_by_1,"Reserved and controlled, but lacks emotion.",
59,posture_openness,open,open,98,2.3635,[> 0.7],0.0,0,3,exact_match,"Open, expressive posture (Excellent). Good use of gestures.",
59,smile_activation,optimal,expressive,0,0.9564,"[0.76, 0.8]",0.1564,1,4,off_by_1,"Very high smile (Good). Highly radiant, possibly over-expressive.",
59,speech_rate,fast,fast,44,188.0194,"[170, 190]",0.0,0,6,exact_match,Energetic and lively. Good for excitement.,
59,vocal_punch,strong,optimal,100,17.7142,"[21.0, 24.0]",3.2858,1,5,off_by_1,"Strong vocal energy. Clear, punchy articulation.",
59,volume_dynamic,optimal,optimal,49,0.7463,"[0.55, 0.8]",0.0,0,5,exact_match,Dynamic delivery. Good emotional texture.,
6,body_sway,stable,optimal,67,0.6036,"[0.3, 0.55]",0.0536,1,5,off_by_1,"Natural controlled movement (Good). Natural, relaxed posture.",
6,gaze_stability,weak,good,60,0.1152,"[0.15, 0.22]",0.0348,1,4,off_by_1,Natural gaze behavior (Good). Natural eye contact.,
6,gesture_activity,optimal,optimal,37,2.2307,"[2.0, 5.0]",0.0,0,5,exact_match,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
6,gesture_magnitude,optimal,optimal,81,2.2408,"[1.8, 3.0]",0.0,0,5,exact_match,"High gesture dynamics (Excellent). Confident, expansive gestures.",
6,gesture_stability,good,optimal,70,3.289,"[5.0, 12.0]",1.711,1,4,off_by_1,"Extremely stable gestures (Excellent). Smooth, intentional movement.",
6,head_down_ratio,forward,frequent_down,56,0.2751,[< 0.1],0.1751,2,4,off_by_2,Head often tilted down.,
6,head_stability,stable,optimal,88,1.536,"[0.6, 1.0]",0.536,1,5,off_by_1,Natural head engagement (Excellent). Good nodding and tilting.,
6,pause_ratio,optimal,optimal,82,0.0601,"[0.04, 0.08]",0.0,0,6,exact_match,Perfect rhythm. Natural flow with good pacing.,
6,pitch_dynamic,neutral,monotone,100,2.9384,"[3.0, 5.0]",0.0616,1,4,off_by_1,Completely monotone. Hard to listen to.,
6,posture_openness,open,open,79,2.2408,[> 0.7],0.0,0,3,exact_match,"Open, expressive posture (Excellent). Good use of gestures.",
6,smile_activation,flat,optimal,88,0.7668,[< 0.74],0.0268,2,4,off_by_2,"Balanced, natural smile (Excellent). Warm and approachable.",
6,speech_rate,optimal,slow,99,118.4713,"[120, 170]",1.5287,1,6,off_by_1,Slower than typical; very clear but may lack energy.,
6,vocal_punch,soft,optimal,100,17.3062,"[14.0, 17.0]",0.3062,1,5,off_by_1,"Strong vocal energy. Clear, punchy articulation.",
6,volume_dynamic,low,expressive,0,0.8315,"[0.35, 0.55]",0.2815,2,5,off_by_2,Highly dynamic. Strong emotional variation.,
60,body_sway,stable,optimal,56,0.7175,"[0.3, 0.55]",0.1675,1,5,off_by_1,"Natural controlled movement (Good). Natural, relaxed posture.",
60,gaze_stability,good,optimal,78,0.0456,"[0.08, 0.15]",0.0344,1,4,off_by_1,"Highly controlled gaze (Excellent). Locked-in, confident gaze.",
60,gesture_activity,low,optimal,39,2.311,"[1.0, 2.0]",0.311,1,5,off_by_1,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
60,gesture_magnitude,very_low,low,42,1.7493,[< 1.2],0.5493,1,5,off_by_1,"Small, timid gestures.","shy position, monotone, almost no body movement except balancing, gaze often on the ground"
60,gesture_stability,good,optimal,69,3.6644,"[5.0, 12.0]",1.3356,1,4,off_by_1,"Extremely stable gestures (Excellent). Smooth, intentional movement.",
60,head_down_ratio,frequent_down,forward,87,0.0737,"[0.25, 0.4]",0.1763,2,4,off_by_2,Excellent posture. Head facing audience.,
60,head_stability,stable,optimal,90,1.3348,"[0.6, 1.0]",0.3348,1,5,off_by_1,Natural head engagement (Excellent). Good nodding and tilting.,
60,pause_ratio,low_pauses,no_pauses,45,0.0,"[0.02, 0.04]",0.02,1,6,off_by_1,Machine-gun delivery. No breathing room.,
60,pitch_dynamic,neutral,monotone,100,2.8243,"[3.0, 5.0]",0.1757,1,4,off_by_1,Completely monotone. Hard to listen to.,
60,posture_openness,closed,neutral,61,1.7493,[< 0.3],1.4493,1,3,off_by_1,"Neutral posture (Ok). Arms at rest, hands at sides or behind.",
60,smile_activation,flat,optimal,81,0.768,[< 0.74],0.028,2,4,off_by_2,"Balanced, natural smile (Excellent). Warm and approachable.",
60,speech_rate,slow,optimal,100,121.5517,"[100, 120]",1.5517,1,6,off_by_1,Optimal pace. Easy to follow and engaging.,
60,vocal_punch,muffled,optimal,100,18.6671,[< 14.0],4.6671,2,5,off_by_2,"Strong vocal energy. Clear, punchy articulation.",
60,volume_dynamic,low,optimal,91,0.6837,"[0.35, 0.55]",0.1337,1,5,off_by_1,Dynamic delivery. Good emotional texture.,
61,body_sway,rigid,rigid,3,0.2595,[< 0.3],0.0,0,5,exact_match,Robotically still. Unnatural.,
61,gaze_stability,good,optimal,79,0.0458,"[0.08, 0.15]",0.0342,1,4,off_by_1,"Highly controlled gaze (Excellent). Locked-in, confident gaze.",
61,gesture_activity,very_low,very_low,1,0.7484,[< 1.0],0.0,0,5,exact_match,Statue-like. No movement.,
61,gesture_magnitude,very_low,low,25,1.5516,[< 1.2],0.3516,1,5,off_by_1,"Small, timid gestures.","shy position, monotone, no body movement, no head movement, gaze mainly looking at the camera"
61,gesture_stability,optimal,optimal,76,0.5805,[< 5.0],0.0,0,4,exact_match,"Extremely stable gestures (Excellent). Smooth, intentional movement.",
61,head_down_ratio,forward,forward,95,0.0,[< 0.1],0.0,0,4,exact_match,Excellent posture. Head facing audience.,
61,head_stability,rigid,rigid,48,0.4429,[< 0.6],0.0,0,5,exact_match,Stiff neck. Frozen.,
61,pause_ratio,low_pauses,no_pauses,45,0.0,"[0.02, 0.04]",0.02,1,6,off_by_1,Machine-gun delivery. No breathing room.,
61,pitch_dynamic,monotone,monotone,100,2.0033,[< 3.0],0.0,0,4,exact_match,Completely monotone. Hard to listen to.,
61,posture_openness,open,closed,23,1.5516,[> 0.7],0.0,2,3,off_by_2,"Closed, defensive posture (Poor). Arms close to body with hands forward.",
61,smile_activation,neutral,neutral,78,0.7581,"[0.74, 0.76]",0.0,0,4,exact_match,Low smile activation (Weak). Professional but reserved.,
61,speech_rate,very_slow,slow,80,110.5263,[< 100],10.5263,1,6,off_by_1,Slower than typical; very clear but may lack energy.,
61,vocal_punch,muffled,optimal,100,18.8463,[< 14.0],4.8463,2,5,off_by_2,"Strong vocal energy. Clear, punchy articulation.",
61,volume_dynamic,flat,optimal,94,0.7131,[< 0.35],0.3631,2,5,off_by_2,Dynamic delivery. Good emotional texture.,
62,body_sway,distracting,unstable,6,1.2951,[> 1.3],0.0049,1,5,off_by_1,Restless torso movement (Weak). Noticeable swaying.,
62,gaze_stability,poor,poor,16,0.3474,[> 0.22],0.0,0,4,exact_match,Unsteady or nervous gaze (Poor). Frequent darting.,
62,gesture_activity,very_high,high,9,6.5733,[> 7.5],0.9267,1,5,off_by_1,"Fast, energetic movement.",
62,gesture_magnitude,very_high,optimal,63,2.0575,[> 3.5],1.4425,2,5,off_by_2,"High gesture dynamics (Excellent). Confident, expansive gestures.",too dynamic presentation with a lot of movements and gesture and walking back and forth 
62,gesture_stability,very_high,very_high,19,28.4145,[> 20.0],0.0,0,4,exact_match,Strong jitter / instability (Poor). Fidgety hands.,
