start_sec,end_sec,head_speed_val,head_score,gaze_jitter_val,gaze_score,smile_val,smile_score
0,5,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
1,6,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
2,7,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
3,8,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
4,9,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
5,10,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
6,11,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
7,12,0.03156984610994041,0.6664794386134032,0.00011836337178817648,0.5786339179144783,0.11346807880649039,0.22297710752412372
8,13,0.04698071342999796,0.5446253863406926,0.00012514255627072714,0.5755909093501896,0.22061322514316373,0.2978338583634158
9,14,0.06295168727871443,0.4126536593641052,0.0001490412013499946,0.5648190910026984,0.32835186029640717,0.3858706721397736
10,15,0.07161318065806475,0.34490408334934936,0.00015884140797823538,0.5603834922578532,0.43572019073254603,0.481727432569446
11,16,0.08188403896543299,0.27217179098545086,0.00017704229490416595,0.5521206038378166,0.5490908306691856,0.5842751702915538
12,17,0.09489968381738552,0.19510481812268773,0.000206361240036195,0.5387515065322191,0.6630753548786762,0.680497418684283
13,18,0.07152066930270891,0.3456006658400185,0.00012144146025585623,0.5772529656841366,0.6621047161840425,0.6797272597259622
14,19,0.06871609856932419,0.36702169398574175,0.001957964810168988,0.044517775438125004,0.6719407583913074,0.6874858445803422
15,20,0.06342768157045393,0.4088162457646906,0.0019863954160276556,0.042345750584038014,0.6821945158538903,0.6954635261277767
16,21,0.063734842334012,0.40634580396922054,0.001995339536887807,0.0416836393053594,0.6896603121543697,0.7011994404829848
17,22,0.06258892604019246,0.41558537053269473,0.0019857091840971386,0.04239696382378278,0.6962373411319325,0.7062007744372805
18,23,0.07212967707277064,0.34102731736750824,0.0020002879858299623,0.041321584187356715,0.7036166061098731,0.7117535131396743
19,24,0.07309182757496874,0.333862212185258,0.0019862847233416705,0.042354007537617394,0.7039851523290023,0.7120291940735157
20,25,0.07283204003973671,0.3357894653197991,0.00014819538621629102,0.5652014335698751,0.6978505872567742,0.707420034730556
21,26,0.08299633583011708,0.2648946639386533,0.0004079712738324709,0.44633384459161746,0.6953682285779094,0.705542687563302
22,27,0.08438213410295065,0.25600417284155413,0.000394383551540784,0.45251766064140303,0.6882030867918326,0.7000847402561607
23,28,0.08557550449651206,0.24850676247711995,0.0004289864022451663,0.4368030779046064,0.6764142309100293,0.6909803602820684
24,29,0.07429971013880533,0.324974877209163,0.0004413969441818243,0.43119603706354453,0.666309755465094,0.6830566569404882
25,30,0.07570829057775147,0.3147681262783991,0.00045643896925234346,0.4244238023605231,0.6711288659101603,0.6868493164397729
26,31,0.0695150203577548,0.3608615317758044,0.0004551246115011016,0.4250144618234958,0.6712204083006021,0.6869211214542418
27,32,0.05881957649860423,0.4463651970866387,0.0002015337801598102,0.540957131921323,0.66412029000052,0.6813254291121322
28,33,0.06259436876421462,0.41554133958728295,0.00020381838029753243,0.5399135121947574,0.6633327309431675,0.680701470370572
29,34,0.06197210765877134,0.42058392271097983,0.00017181098119506278,0.5544986845495827,0.6638970407369661,0.6811486215127822
30,35,0.06681537128970552,0.38185004917042287,0.00014707422328212645,0.5657081248426765,0.667419789308244,0.6839324410220659
31,36,0.06683636505854429,0.38168500194910415,0.0001319237227480093,0.5725412671129605,0.6630679254022752,0.6804915274543843
32,37,0.06684318280226133,0.3816314086007233,0.00014219360055151538,0.5679122295936854,0.6682683803818271,0.6846010756648059
33,38,0.062012948372157706,0.4202524432996789,9.410243720308485e-05,0.5894736831281243,0.6715968705233045,0.6872163207496281
34,39,0.05304011925123114,0.4942858786723429,0.00010036898132930208,0.5866816620793127,0.6806856841010785,0.6942968090466267
35,40,0.05861151937153777,0.4480784561586003,0.0001089385694288816,0.5828545272032876,0.6804443915351007,0.6941099956122351
36,41,0.055398971353739924,0.47466435082065594,8.919740840160365e-05,0.5916550840858338,0.6760964598027681,0.6907328421238307
37,42,0.05318366663633911,0.49309069984460846,7.669533104992028e-05,0.5971986137552215,0.6677178893638068,0.6841674113859515
38,43,0.047023610061177924,0.5442709938448803,6.252661372735318e-05,0.6034511896834932,0.551579268522103,0.5864778936733427
39,44,0.041702435710205536,0.5877796590320636,5.210346986295973e-05,0.6080295047278995,0.439840862743746,0.48548047552399276
40,45,0.03654602014977978,0.6286784042523686,3.83957204023154e-05,0.6140216435829109,0.323870623272783,0.38200499709922164
41,46,0.021278568727806303,0.7379036756404647,1.8660146565561297e-05,0.622588017252861,0.21538879301256345,0.2938645482637991
42,47,0.008367251587845974,0.8123220844111132,6.829776704264399e-06,0.6276869896063715,0.10495466243112243,0.2176438981229971
43,48,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
44,49,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
45,50,0.027636935453793563,0.6949380275934451,7.402599563845593e-05,0.5983790613223773,0.11056526820763869,0.221148242273593
46,51,0.04117881817613788,0.5919990500848432,8.155061693354027e-05,0.5950486028120817,0.2174567440406058,0.29543199898226136
47,52,0.05723057148887636,0.45947931153720933,0.00013103284539757153,0.5729422345155506,0.33247937775869707,0.3894440082856566
48,53,0.06601092156074907,0.3881946407136278,0.00016116365400809597,0.5593309954348848,0.44741759894918526,0.4923852137441441
49,54,0.08003858208652702,0.28451788173102033,0.00019407761187921455,0.5443606103710522,0.5599982270912907,0.5939041146632027
50,55,0.0943469373192578,0.19801240590258742,0.0002537399578655954,0.5170373961161628,0.6756097793627563,0.6903535450210702
51,56,0.07099688016332507,0.34955707653702567,0.00018344878474830967,0.5492050650027365,0.6742447144258197,0.6892883070564673
52,57,0.07418194102920973,0.3258360015375357,0.00022069402092365933,0.5321943658350584,0.682905091153212,0.6960121167602399
53,58,0.07196412647296226,0.34226763848437486,0.00018869423749853567,0.5468153766720646,0.6772633880112805,0.6916412476954068
54,59,0.0729806364175404,0.33468641751956957,0.0001759723500703685,0.5526071831250993,0.6751969198169102,0.6900315796217574
55,60,0.07870479972154389,0.29364777909001355,0.00014959256553107963,0.5645698105991745,0.6755249476799873,0.6902874047281715
56,61,0.07795289109520263,0.2988694277740318,0.00010292949755614664,0.5855392228214156,0.6709103757507409,0.6866778985492755
57,62,0.08443499373208528,0.2556689589396681,0.00010866149938312656,0.5829784242102883,0.6628545244579384,0.6803222858187171
58,63,0.08940085233671595,0.22547995911711197,8.556493015497104e-05,0.593268228235917,0.6623685656334095,0.6799367097930178
59,64,0.09223886462654053,0.20940017677843747,8.493952792713664e-05,0.5935457607381618,0.6741768853829919,0.6892353237182592
60,65,0.08244200461008967,0.2685057360540337,6.753060674477939e-05,0.6012467003517716,0.5613051323868743,0.5950531639720639
61,66,0.06269018078030826,0.4147664539479639,6.0996433412949644e-05,0.6041244710137526,0.4483964763816915,0.49327754008693897
62,67,0.049133734173918704,0.5267898009173844,4.7997155401501795e-05,0.6098280271383809,0.3373994960394722,0.393719062197116
63,68,0.03836475323917524,0.6144295585364705,3.853033105335169e-05,0.6139629649224315,0.2362551440615729,0.30989997370363465
64,69,0.01667195104631559,0.7664807290765152,1.685704281107321e-05,0.6233669538577824,0.12118925032574233,0.22789404083199036
65,70,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
66,71,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
67,72,0.0,0.8511789612504879,0.0,0.6306178692452582,0.0,0.159463223690441
